Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Residential Property Prices,2016-03-31T00:00:00,5.35,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2016-06-30T00:00:00,5.32,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2016-09-30T00:00:00,5.29,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2016-12-31T00:00:00,5.38,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2017-03-31T00:00:00,5.52,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2017-06-30T00:00:00,5.83,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2017-09-30T00:00:00,6,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2017-12-31T00:00:00,6.02,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2018-03-31T00:00:00,6.24,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2018-06-30T00:00:00,5.96,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2018-09-30T00:00:00,5.39,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,2018-12-31T00:00:00,4.65,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2019-03-31T00:00:00,3.82,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2019-06-30T00:00:00,3.62,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2019-09-30T00:00:00,3.83,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2019-12-31T00:00:00,4.45,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2020-03-31T00:00:00,5.17,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2020-06-30T00:00:00,4.99,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2020-09-30T00:00:00,7.14,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2020-12-31T00:00:00,9.55,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2021-03-31T00:00:00,11.41,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2021-06-30T00:00:00,15.74,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2021-09-30T00:00:00,16.96,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2021-12-31T00:00:00,17.25,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2022-03-31T00:00:00,18.84,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2022-06-30T00:00:00,16.76,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2022-09-30T00:00:00,11.11,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2022-12-31T00:00:00,7.15,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2023-03-31T00:00:00,3.6,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2023-06-30T00:00:00,1.78,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2023-09-30T00:00:00,4.53,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2023-12-31T00:00:00,5.47,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2024-03-31T00:00:00,5.3,Quarterly,USRPP,2024-07-23T05:59:00
