DBSCAN_Cluster,Government Debt,Core PCE Price Index,Core Consumer Prices,Wages,Corruption Rank,Price to Rent Ratio,Money Supply M0,Military Expenditure,Interbank Rate,Government Bond 10Y,Consumer Price Index CPI,GDP from Public Administration,Foreign Exchange Reserves,Mining Production,PCE Price Index,Pending Home Sales,Crude Oil Production,Disposable Personal Income,Foreign Direct Investment,Mortgage Originations
19,-1.3141931172034467,-1.2566319857067862,-1.233187308116761,-1.2652807298047066,-0.1644088693199891,1.1315273994854012,-1.431221842520985,-1.4810999340219382,1.9287077717413565,1.8440139319454625,-1.2166367882838212,-0.9010618273738161,-0.7566957030496041,-0.09463952568449692,-1.2496010665350297,-0.9797910183380942,-1.165046778003306,-1.188239728335013,-0.2001586851465533,0.765430359889111
20,-1.3152987627261854,-1.2431793284042167,-1.2194345203143646,-1.2538373837259238,-0.1644088693199891,1.1315273994854012,-1.4307945329503868,-1.4810999340219382,1.909283967766231,1.7004895513223413,-1.251741071519634,-0.9010618273738162,-0.8017864107190013,1.2045192961168918,-1.2720450255346358,-1.0117496131664518,-1.1682432854121494,-1.1795933278321369,-0.2001586851465533,0.765430359889111
21,-1.304687446422034,-1.2277037151162975,-1.2056817325119673,-1.236672364607751,-0.1644088693199891,1.0867387432438247,-1.431160798296614,-1.4810999340219382,1.9037228705223461,1.7072770122126206,-1.2903557830790278,-0.8830292969913004,-0.7221667827622279,0.9745796816387698,-1.2921741367450454,-0.9318531260955575,-1.1408953886920437,-1.172740179846744,-0.5500975037253764,0.4049271316604296
22,-1.2979771657724293,-1.2236578031455991,-1.1988053386107682,-1.2223681820092733,-0.1644088693199891,1.0867387432438247,-1.4268877025906308,-1.4810999340219382,1.9030532345792401,1.591556153102285,-1.300887068049772,-0.8830292969913004,-0.48432345537094845,0.28476083820440423,-1.2892554156195364,-0.636236123933249,-1.1565227582463897,-1.1587250951573513,-0.5500975037253764,0.4049271316604296
23,-1.2915328710618554,-1.2121269540291117,-1.1884907477589708,-1.2023423263714046,-0.1644088693199891,1.0867387432438247,-1.4208443243778837,-1.4810999340219382,1.8966770295589364,1.5641273380267808,-1.2903557830790278,-0.8830292969913005,-0.5903475517827742,0.34224574182393475,-1.2589611032478703,-0.27670193211422506,-1.1131923244820663,-1.1321521807354342,-0.5500975037253764,0.40492713166042965
24,-1.2877828671344225,-1.1773321110811104,-1.1712997630059745,-1.1908989802926229,-0.1644088693199891,1.062196817995129,-1.4231029606796175,-1.152515184755996,1.8965741721179772,1.7378457952552275,-1.2687315446057676,-0.858985923147946,-0.7044961000269236,-0.23260329437137003,-1.2303777653290886,-0.6282464752261596,-1.1408953886920437,-1.1219615202576396,-0.6497141130102283,0.9126000117362182
25,-1.278105039388861,-1.1587209160159013,-1.1529054093202684,-1.1737339611744502,-0.1644088693199891,1.062196817995129,-1.424934287410753,-1.152515184755996,1.8962495867616767,1.707977232665947,-1.2307136058613826,-0.858985923147946,-0.5277892726738809,-0.048651602788872504,-1.2037066929752962,-0.5243810420339972,-1.1373437137933287,-1.1012710942015604,-0.6497141130102283,0.9126000117362182
26,-1.268289486071981,-1.1500222052789013,-1.1431753119500718,-1.1537081055365814,-0.1644088693199891,1.062196817995129,-1.4243848893914124,-1.152515184755996,1.8896507400099238,1.5619074744227952,-1.165665369025421,-0.8589859231479461,-0.43334252012311664,-0.06014858351277861,-1.1722046339310055,-0.6282464752261596,-1.136988546303457,-1.078748817038172,-0.6497141130102283,0.9126000117362182
27,-1.2695922547480918,-1.1376821737682732,-1.1318636439826,-1.1394039229381037,-0.1644088693199891,0.9638218613706998,-1.4231029606796175,-1.152515184755996,1.893502252268716,1.6779629431732008,-1.1188362551888467,-0.8307349588820058,-0.3563633390118485,-0.11763348713230909,-1.1518742316084922,-0.7800498006608587,-1.1153233294212952,-1.066247303280967,-0.40783750922894085,0.4336397781565194
28,-1.2711253433786287,-1.1274662460422615,-1.1211708514662369,-1.119378067300235,-0.1644088693199891,0.9638218613706997,-1.4214547666215953,-1.152515184755996,1.8959500144648822,1.7317048740002632,-1.074499545462015,-0.8307349588820058,-0.4806674520464028,-0.12913046785621518,-1.1267128425954807,-0.8519566390246633,-1.1043131372352786,-1.0547771944650108,-0.4078375092289409,0.43363977815651944
